brand,model,repair_type,recommended_price,min_price,max_price,average_price,confidence_score,pricing_status,source
apple,iphone 16e,ecran lcd,214.9,,,214.9,0.0,inconsistent pricing,https://www.utopya.fr/displayeinheit-iphone-16e-service-pack-4.html
apple,iphone 16e,ecran lcd,55.0,,,55.0,0.0,inconsistent pricing,https://www.utopya.fr/ecran-complet-iphone-16e-relife.html
apple,iphone 16e,ecran lcd,29.5,,,29.5,0.0,inconsistent pricing,https://www.utopya.fr/ecran-complet-iphone-16e-soft-oled-bolt.html
apple,iphone 16e,ecran lcd,15.6,,,15.6,0.0,inconsistent pricing,https://www.utopya.fr/ecran-complet-iphone-16e-ltps.html
apple,iphone 16e,ecran lcd,8.86,,,8.86,0.0,inconsistent pricing,https://www.utopya.fr/vitre-arriere-complete-iphone-16e-avec-magsafe-sans-logo.html
apple,iphone 16e,ecran lcd,8.86,,,8.86,0.0,inconsistent pricing,https://www.utopya.fr/vitre-arriere-complete-blanc-iphone-16e-avec-magsafe-sans-logo.html
apple,iphone 16e,ecran lcd,8.86,,,8.86,0.0,inconsistent pricing,https://www.utopya.fr/vitre-arriere-complete-noir-iphone-16e-avec-magsafe-sans-logo.html
apple,iphone 16e,ecran lcd,7.32,,,7.32,0.0,inconsistent pricing,https://www.utopya.fr/adhesif-vitre-arriere-iphone-14-boite-de-50.html
apple,iphone 16e,ecran lcd,6.5,,,6.5,0.0,inconsistent pricing,https://www.utopya.fr/adhesif-ecran-iphone-14-boite-de-50.html
apple,iphone 16e,ecran lcd,0.16,,,0.16,0.005320099255583129,inconsistent pricing,https://www.utopya.fr/adhesif-arriere-iphone-14.html
apple,iphone 16e,batterie,46.5,,,46.5,0.0,inconsistent pricing,https://www.utopya.fr/akku-iphone-16e-service-pack-281.html
apple,iphone 16e,batterie,2.03,,,2.03,0.05253101736972704,weak match,https://www.utopya.fr/adhesif-batterie-iphone-16e-boite-de-20.html
apple,iphone 16e,batterie,0.29,,,0.29,0.0075044310528181455,inconsistent pricing,https://www.utopya.fr/adhesif-batterie-iphone-16e.html
apple,iphone 16e,camera,29.92,,,29.92,0.0,inconsistent pricing,https://www.utopya.fr/camera-arriere-iphone-16e-relife.html
apple,iphone 16e,camera,23.38,,,23.38,0.0,inconsistent pricing,https://www.utopya.fr/camera-avant-iphone-16e-relife.html
