brand,brand_url,model,model_url,part_name,repair_type,price
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Façade avant,panne,350.91
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Lentille Appareil Photo,panne,53.91
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Autres pannes,panne,0.0
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Sauvegarde de données,service,29.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Transfert de données,service,29.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Restauration ou effacement des données,service,19.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Accompagnement sauvegarde iCloud,service,9.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Nettoyage complet,service,24.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Accompagnement mise à jour,service,19.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Dégéolocalisation du téléphone,service,9.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Paramétrage de l'appareil,service,34.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Assistance au déblocage ou réinitialisation du compte store,service,29.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Paramétrage e-sim,service,9.9
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Standard,service,23.92
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Antibactérien,service,27.92
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Anti-lumière bleue,service,27.92
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PLUS,https://www.wefix.net/reparation/smartphone/apple/iphone-16-plus?tag=1,Confidentiel / Anti-espion,service,27.92
APPLE,https://www.wefix.net/reparation/smartphone/apple?tag=1,IPHONE 16 PRO MAX,https://www.wefix.net/reparation/smartphone/apple/iphone-16-pro-max?tag=1,Façade avant,panne,449.91
