image_src,product_url,title,image_src,product_name,qty,number_of_lists,price,title,min_price,max_price,average_price,profit_margin_2,Title,max_order_qty,rating,img_src,avg_price,reviews,reorder
"https://cf.cjdropshipping.com/631cc1d9-d708-4789-9048-e8c2a58a2b70.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",https://www.cjdropshipping.com/product/self-discipline-phone-lock-portable-mobile-phone-lock-box-timer-smartphone-locking-case-safe-timed-lockbox-self-discipline-keepin-box-limit-cell-phones-use-p-1383976636914995200.html,Self Discipline Phone Lock Portable Mobile Phone Lock,"https://cf.cjdropshipping.com/631cc1d9-d708-4789-9048-e8c2a58a2b70.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Self Discipline Phone Lock Portable Mobile Phone Lock,,1,14.245,Self Discipline Phone Lock Portable Mobile Phone Lock,7.63,20.86,14.245,6.614999999999999,Self Discipline Phone Lock Portable Mobile Phone Lock,0.0,3.01,"https://cf.cjdropshipping.com/631cc1d9-d708-4789-9048-e8c2a58a2b70.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",14.245,20,1
"https://oss-cf.cjdropshipping.com/product/2024/06/17/06/5e3fec2a-b492-4812-8f11-40f4ff7c20c2.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",https://www.cjdropshipping.com/product/multifunctional-car-phone-holder-windshield-gravity-sucker-mobile-phones-stand-for-ios-and-android-support-cellphone-p-1734144623590772736.html,Multifunctional Car Phone Holder Windshield Gravity Sucker Mobile,"https://oss-cf.cjdropshipping.com/product/2024/06/17/06/5e3fec2a-b492-4812-8f11-40f4ff7c20c2.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Multifunctional Car Phone Holder Windshield Gravity Sucker Mobile,,1,1.76,Multifunctional Car Phone Holder Windshield Gravity Sucker Mobile,1.76,1.76,1.76,0.0,Multifunctional Car Phone Holder Windshield Gravity Sucker Mobile,0.0,3.01,"https://oss-cf.cjdropshipping.com/product/2024/06/17/06/5e3fec2a-b492-4812-8f11-40f4ff7c20c2.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",1.76,20,1
"https://cf.cjdropshipping.com/2057/1704615580451.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",https://www.cjdropshipping.com/product/six-in-one-wireless-charger-for-mobile-phones-p-44279FF8-60FD-424B-8AEA-4A66659E7264.html,Six-in-one Wireless Charger For Mobile Phoneslists 702730-1559qtyvideo Gallerytonnes,"https://cf.cjdropshipping.com/2057/1704615580451.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Six-in-one Wireless Charger For Mobile Phoneslists 702730-1559qtyvideo Gallerytonnes,,1,11.445,Six-in-one Wireless Charger For Mobile Phoneslists 702730-1559qtyvideo Gallerytonnes,7.3,15.59,11.445,4.1450000000000005,Six-in-one Wireless Charger For Mobile Phoneslists 702730-1559qtyvideo Gallerytonnes,0.0,3.01,"https://cf.cjdropshipping.com/2057/1704615580451.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",11.445,20,1
"https://cf.cjdropshipping.com/1617449052218.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",https://www.cjdropshipping.com/product/retro-splicing-mobile-phone-cover-for-mobile-phones-p-1378307842569801728.html,Retro Splicing Mobile Phone Cover For Mobile Phoneslists,"https://cf.cjdropshipping.com/1617449052218.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Retro Splicing Mobile Phone Cover For Mobile Phoneslists,,1,2.2,Retro Splicing Mobile Phone Cover For Mobile Phoneslists,2.17,2.23,2.2,0.03000000000000025,Retro Splicing Mobile Phone Cover For Mobile Phoneslists,0.0,3.01,"https://cf.cjdropshipping.com/1617449052218.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",2.2,20,1
"https://cf.cjdropshipping.com/be4dddb1-eebb-496a-bb4e-050ae113a11a.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",https://www.cjdropshipping.com/product/car-electroplating-bracket-shell-suitable-for-mobile-phones-p-1467002639744110592.html,Car Electroplating Bracket Shell Suitable For Mobile Phoneslists,"https://cf.cjdropshipping.com/be4dddb1-eebb-496a-bb4e-050ae113a11a.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Car Electroplating Bracket Shell Suitable For Mobile Phoneslists,,1,1.75,Car Electroplating Bracket Shell Suitable For Mobile Phoneslists,1.75,1.75,1.75,0.0,Car Electroplating Bracket Shell Suitable For Mobile Phoneslists,0.0,3.01,"https://cf.cjdropshipping.com/be4dddb1-eebb-496a-bb4e-050ae113a11a.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",1.75,20,1
"https://cf.cjdropshipping.com/10992182-b5bf-4220-8270-1af749a03912.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",https://www.cjdropshipping.com/product/waterproof-solid-color-temperament-case-for-mobile-phones-p-1458271218175184896.html,Waterproof Solid-color Temperament Case For Mobile Phoneslists 507324qty,"https://cf.cjdropshipping.com/10992182-b5bf-4220-8270-1af749a03912.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",Waterproof Solid-color Temperament Case For Mobile Phoneslists,,1,3.24,Waterproof Solid-color Temperament Case For Mobile Phoneslists 507324qty,3.24,3.24,3.24,0.0,Waterproof Solid-color Temperament Case For Mobile Phoneslists 507324qty,0.0,3.01,"https://cf.cjdropshipping.com/10992182-b5bf-4220-8270-1af749a03912.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",3.24,20,1
https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,https://www.cjdropshipping.com/product/waterproof-solid-color-temperament-case-for-mobile-phones-p-1458264703443800064.html,Waterproof Solid-color Temperament Case For Mobile Phoneslists 497296-305qty,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,Waterproof Solid-color Temperament Case For Mobile Phoneslists 497296,,1,3.005,Waterproof Solid-color Temperament Case For Mobile Phoneslists 497296-305qty,2.96,3.05,3.005,0.04499999999999993,Waterproof Solid-color Temperament Case For Mobile Phoneslists 497296-305qty,0.0,3.01,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,3.005,20,1
https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,https://www.cjdropshipping.com/product/compatible-with-apple--anti-peeping-toughened-film-for-mobile-phones-p-1355046142005612544.html,Compatible With Apple Anti-peeping Toughened Film For Mobile,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,Compatible With Apple Anti-peeping Toughened Film For Mobile,,1,2.2,Compatible With Apple Anti-peeping Toughened Film For Mobile,0.51,3.89,2.2,1.6900000000000002,Compatible With Apple Anti-peeping Toughened Film For Mobile,0.0,3.01,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,2.2,20,1
https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,https://www.cjdropshipping.com/product/waterproof-solid-color-temperament-case-for-mobile-phones-p-1458269839692009472.html,Waterproof Solid-color Temperament Case For Mobile Phoneslists 453296qty,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,Waterproof Solid-color Temperament Case For Mobile Phoneslists,,1,2.96,Waterproof Solid-color Temperament Case For Mobile Phoneslists 453296qty,2.96,2.96,2.96,0.0,Waterproof Solid-color Temperament Case For Mobile Phoneslists 453296qty,0.0,3.01,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,2.96,20,1
https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,https://www.cjdropshipping.com/product/wireless-charger-for--samsung-mobile-phones-p-1391652824865181696.html,Wireless Charger For Samsung Mobile Phoneslists 433142-147qty,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,Wireless Charger For Samsung Mobile Phoneslists 433142,,1,1.445,Wireless Charger For Samsung Mobile Phoneslists 433142-147qty,1.42,1.47,1.4449999999999998,0.02499999999999991,Wireless Charger For Samsung Mobile Phoneslists 433142-147qty,0.0,3.01,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,1.4449999999999998,20,1
